"customer_id","first_name","last_name","age_code","income_code","city"
1,"Henry","Moore",1,4,"Dallas"
2,"Victoria","Moore",4,4,"Dallas"
3,"Sebastian","Anderson",2,0,"Dallas"
4,"Christopher","Brown",0,1,"El Paso"
5,"Riley","Moore",3,2,"Fort Worth"
6,"Noah","Rodriguez",5,2,"Arlington"
7,"Michael","Ramírez",3,2,"Fort Worth"
8,"Christopher","Sánchez",1,0,"Austin"
9,"Chloe","Diaz",2,0,"Austin"
10,"Jack","Taylor",5,2,"Houston"
11,"Riley","White",5,0,"Plano"
12,"Jack","Jones",1,4,"Houston"
13,"Ellie","Gomez",2,3,"El Paso"
14,"Daniel","Martin",5,1,"Arlington"
15,"Ava","Hill",2,0,"Laredo"
16,"Christopher","Rodriguez",3,0,"Dallas"
17,"Lucas","White",4,1,"Corpus Christi"
18,"Noah","Rivera",4,0,"Houston"
19,"Alexander","Brown",5,0,"San Antonio"
20,"Riley","Mitchell",1,1,"Austin"
21,"Christopher","Anderson",5,2,"Laredo"
22,"Levi","Moore",3,1,"Fort Worth"
23,"Joseph","Thomas",4,2,"Laredo"
24,"Luna","Johnson",1,0,"Dallas"
25,"Joseph","Clark",3,2,"Dallas"
26,"Lily","Adams",1,1,"Houston"
27,"Chloe","Evans",4,1,"Arlington"
28,"Layla","Johnson",5,0,"El Paso"
29,"Henry","Collins",1,2,"Fort Worth"
30,"Charlotte","Anderson",4,1,"Corpus Christi"
31,"Joshua","Diaz",1,3,"El Paso"
32,"Penelope","Adams",5,2,"El Paso"
33,"Levi","Perez",5,3,"El Paso"
34,"Victoria","Carter",2,0,"Houston"
35,"Olivia","Johnson",4,0,"Dallas"
36,"Scarlett","Hill",5,1,"Corpus Christi"
37,"Zoe","Moore",2,0,"Arlington"
38,"Benjamin","Carter",4,1,"Laredo"
39,"Mia","Ramírez",5,4,"Laredo"
40,"Sophia","Wilson",5,0,"Corpus Christi"
41,"Charlotte","Mitchell",3,1,"Fort Worth"
42,"Sebastian","Jones",3,3,"Dallas"
43,"Sebastian","Carter",5,0,"Fort Worth"
44,"William","Wilson",5,2,"Corpus Christi"
45,"Charlotte","Hill",1,2,"Laredo"
46,"Elijah","Parker",2,1,"Laredo"
47,"Sophia","Brown",1,1,"Plano"
48,"Scarlett","Robinson",2,0,"Dallas"
49,"Isabella","Mitchell",0,2,"Austin"
50,"Gabriel","Jackson",0,4,"Fort Worth"
51,"Noah","Taylor",3,4,"El Paso"
52,"Jack","Hernández",3,1,"Austin"
53,"Victoria","Lewis",0,0,"Laredo"
54,"Elijah","Phillips",5,0,"Dallas"
55,"Daniel","Clark",4,0,"Laredo"
56,"Benjamin","Roberts",1,0,"Dallas"
57,"Elijah","Scott",4,2,"Arlington"
58,"Zoe","Clark",1,1,"Corpus Christi"
59,"Christopher","Sánchez",1,0,"Corpus Christi"
60,"William","Smith",3,4,"Arlington"
61,"Ellie","Williams",3,3,"Dallas"
62,"Oliver","Turner",2,0,"Plano"
63,"Harper","Rivera",1,3,"Arlington"
64,"Isabella","Martínez",1,1,"Plano"
65,"Isaac","King",2,0,"Dallas"
66,"Jack","Scott",3,1,"Austin"
67,"Isaac","Martin",4,1,"San Antonio"
68,"Isaac","Mitchell",2,3,"Houston"
69,"Victoria","Ramírez",0,1,"Plano"
70,"Ella","Phillips",4,3,"Laredo"
71,"Zoe","Lewis",3,1,"Dallas"
72,"Grace","Evans",3,1,"Laredo"
73,"Lily","Roberts",0,3,"Arlington"
74,"Liam","Lee",3,0,"Fort Worth"
75,"Scarlett","Diaz",4,1,"Arlington"
76,"Sophia","Baker",4,2,"Corpus Christi"
77,"William","Lee",1,1,"El Paso"
78,"Matthew","Smith",2,0,"San Antonio"
79,"Evelyn","Lewis",5,1,"Laredo"
80,"Ava","Sánchez",1,0,"Austin"
81,"Lucas","Phillips",1,2,"Dallas"
82,"Ellie","Mitchell",2,1,"Arlington"
83,"Sebastian","Robinson",1,1,"Corpus Christi"
84,"Victoria","Jackson",5,1,"Dallas"
85,"Ava","Gomez",3,3,"Fort Worth"
86,"Ella","García",1,2,"Arlington"
87,"Luna","Wilson",2,2,"San Antonio"
88,"Christopher","Scott",2,0,"Laredo"
89,"Christopher","Parker",3,0,"Arlington"
90,"James","Roberts",5,0,"San Antonio"
91,"Elijah","Clark",3,3,"Dallas"
92,"Joseph","Williams",2,3,"San Antonio"
93,"Evelyn","Parker",2,2,"Austin"
94,"Joseph","Miller",2,2,"Austin"
95,"Alexander","Jones",3,0,"San Antonio"
96,"Amelia","Phillips",3,1,"Corpus Christi"
97,"Victoria","Sánchez",0,2,"Laredo"
98,"Oliver","Taylor",4,1,"Fort Worth"
99,"Scarlett","Phillips",1,2,"El Paso"
100,"Aria","Johnson",2,1,"Austin"
101,"Layla","Lopez",3,2,"Arlington"
102,"Alexander","Adams",3,1,"San Antonio"
103,"Aiden","Lopez",1,1,"Fort Worth"
104,"Riley","Thomas",3,3,"Laredo"
105,"Aiden","Rodriguez",0,3,"Arlington"
106,"Christopher","Mitchell",5,1,"Corpus Christi"
107,"Penelope","García",4,3,"Dallas"
108,"Matthew","Carter",0,1,"Houston"
109,"Sebastian","Taylor",0,2,"Plano"
110,"Charlotte","Jackson",4,0,"Plano"
111,"Anthony","Young",2,2,"Corpus Christi"
112,"Mia","Jones",3,2,"Houston"
113,"Emma","Johnson",5,0,"Houston"
114,"Riley","Collins",1,4,"Fort Worth"
115,"Samuel","Roberts",1,4,"El Paso"
116,"Charlotte","Campbell",1,0,"Houston"
117,"Chloe","Phillips",5,2,"Corpus Christi"
118,"Riley","Hill",0,0,"Austin"
119,"Layla","Parker",1,0,"Corpus Christi"
120,"Sebastian","Williams",4,1,"Plano"
121,"Joseph","Evans",1,1,"Laredo"
122,"Mia","Gomez",2,1,"Arlington"
123,"Mia","Rivera",3,1,"Houston"
124,"Benjamin","Jackson",1,3,"Houston"
125,"William","Williams",2,0,"Plano"
126,"Luna","Moore",2,3,"Austin"
127,"Charlotte","Wilson",0,2,"Plano"
128,"Oliver","Robinson",4,1,"El Paso"
129,"Charlotte","Moore",2,2,"Fort Worth"
130,"Levi","Anderson",4,3,"Laredo"
131,"Matthew","Rivera",5,3,"Dallas"
132,"Christopher","Robinson",3,0,"San Antonio"
133,"Ellie","White",3,0,"Dallas"
134,"Samuel","Nelson",4,2,"Dallas"
135,"Michael","Miller",3,3,"Arlington"
136,"Joseph","Hernández",3,3,"El Paso"
137,"Madison","Diaz",1,1,"Fort Worth"
138,"Victoria","Hill",1,1,"Plano"
139,"Joshua","Carter",5,1,"Laredo"
140,"Ella","Lee",1,3,"El Paso"
141,"Mia","Walker",3,1,"Corpus Christi"
142,"Sebastian","Mitchell",5,3,"Dallas"
143,"Liam","Phillips",2,3,"San Antonio"
144,"Amelia","Jackson",0,4,"Austin"
145,"Gabriel","Jones",1,0,"Dallas"
146,"Sophia","Young",5,4,"Austin"
147,"Sophia","Hill",4,3,"Houston"
148,"Emma","Jones",4,3,"San Antonio"
149,"Lucas","Anderson",1,0,"Arlington"
150,"Samuel","Young",2,1,"Corpus Christi"
151,"Gabriel","Hill",0,1,"San Antonio"
152,"Aiden","Evans",4,2,"Laredo"
153,"Harper","Harris",3,0,"Arlington"
154,"Lucas","Lewis",0,0,"Dallas"
155,"Ava","Hill",5,1,"San Antonio"
156,"Harper","Gomez",1,0,"San Antonio"
157,"Daniel","Evans",2,1,"Fort Worth"
158,"Benjamin","Williams",0,3,"Plano"
159,"Jack","Sánchez",5,1,"Houston"
160,"Benjamin","Moore",1,3,"Fort Worth"
161,"Aria","Robinson",1,3,"Laredo"
162,"Evelyn","Mitchell",1,1,"Dallas"
163,"Joseph","Miller",5,1,"Arlington"
164,"William","Baker",1,2,"Corpus Christi"
165,"Evelyn","Lopez",2,3,"El Paso"
166,"Michael","Brown",2,0,"Laredo"
167,"Zoe","Turner",4,4,"Austin"
168,"Sophia","García",1,0,"Laredo"
169,"Sebastian","King",2,0,"Corpus Christi"
170,"Isabella","Rodriguez",0,1,"Fort Worth"
171,"Grace","Smith",5,2,"Dallas"
172,"Amelia","Clark",5,2,"Fort Worth"
173,"Hazel","Jones",4,1,"Dallas"
174,"Zoe","Wilson",0,2,"Fort Worth"
175,"Ellie","Lee",1,1,"Plano"
176,"Matthew","Roberts",5,2,"Austin"
177,"William","Mitchell",3,0,"San Antonio"
178,"Michael","Martínez",1,2,"Plano"
179,"Hazel","White",2,2,"Austin"
180,"Layla","Perez",4,1,"Corpus Christi"
181,"Madison","Nelson",2,1,"Laredo"
182,"Mia","Nelson",1,0,"Arlington"
183,"Lily","Carter",4,4,"Austin"
184,"Isabella","Phillips",0,0,"Fort Worth"
185,"Layla","Diaz",3,0,"Corpus Christi"
186,"Aiden","Ramírez",2,1,"Austin"
187,"Isabella","Clark",1,0,"Plano"
188,"Daniel","Rodriguez",3,2,"Corpus Christi"
189,"Penelope","Harris",4,2,"Houston"
190,"Penelope","González",4,4,"Corpus Christi"
191,"Isabella","Johnson",2,0,"Arlington"
192,"Alexander","King",4,1,"Dallas"
193,"Luna","Ramírez",5,1,"Arlington"
194,"Matthew","Davis",3,3,"Laredo"
195,"Anthony","Wilson",2,3,"Plano"
196,"Scarlett","Roberts",2,3,"Corpus Christi"
197,"Sebastian","Rodriguez",0,4,"Arlington"
198,"Joseph","Jones",2,2,"El Paso"
199,"Charlotte","Perez",0,0,"Fort Worth"
200,"Daniel","Moore",1,1,"Dallas"
201,"Sophia","Robinson",0,2,"Plano"
202,"Joshua","González",0,1,"Corpus Christi"
203,"Matthew","Johnson",5,0,"Corpus Christi"
204,"Aria","Gomez",3,4,"Austin"
205,"Sebastian","Taylor",5,3,"Dallas"
206,"Christopher","Young",0,2,"El Paso"
207,"William","Ramírez",2,1,"Austin"
208,"Henry","Jackson",2,2,"Corpus Christi"
209,"James","Martínez",3,4,"El Paso"
210,"James","Perez",5,2,"Houston"
211,"Aiden","Young",5,1,"San Antonio"
212,"Lucas","Clark",0,1,"Arlington"
213,"Benjamin","Scott",1,1,"Dallas"
214,"Ellie","Nelson",5,3,"Dallas"
215,"Noah","Harris",2,0,"El Paso"
216,"Lily","Jackson",3,4,"Dallas"
217,"Evelyn","Smith",1,2,"Austin"
218,"Sebastian","Smith",3,0,"Arlington"
219,"Madison","Collins",2,4,"El Paso"
220,"Penelope","Miller",0,1,"San Antonio"
221,"Henry","Lee",1,3,"Houston"
222,"Joshua","Nelson",5,0,"Arlington"
223,"Samuel","Hill",2,2,"Plano"
224,"Levi","Gomez",0,0,"Austin"
225,"Noah","Walker",0,1,"Laredo"
226,"Harper","Rivera",2,3,"Austin"
227,"Scarlett","Robinson",5,1,"Dallas"
228,"Daniel","Young",1,2,"San Antonio"
229,"Levi","Campbell",0,0,"Plano"
230,"Penelope","Johnson",5,1,"Dallas"
231,"Matthew","Lee",2,4,"Corpus Christi"
232,"Ella","Gomez",1,0,"Plano"
233,"Chloe","King",1,1,"Fort Worth"
234,"Noah","Turner",4,4,"Arlington"
235,"Isabella","Rodriguez",1,3,"San Antonio"
236,"Harper","Thomas",2,2,"Fort Worth"
237,"Amelia","Mitchell",2,1,"Laredo"
238,"Madison","Collins",3,3,"Houston"
239,"Charlotte","Thomas",0,4,"Austin"
240,"Isaac","Smith",1,3,"Laredo"
241,"Chloe","Collins",2,1,"Houston"
242,"Ellie","García",1,4,"Arlington"
243,"James","Williams",4,2,"Austin"
244,"Grace","Walker",5,1,"Laredo"
245,"Mia","Thomas",3,1,"Laredo"
246,"Samuel","Clark",1,1,"Plano"
247,"Harper","Campbell",4,3,"Fort Worth"
248,"Joshua","Brown",2,3,"Corpus Christi"
249,"Joshua","Baker",2,4,"Houston"
250,"Samuel","Diaz",3,0,"Houston"
251,"Lucas","Wilson",3,4,"Laredo"
252,"Sophia","González",5,3,"Laredo"
253,"Layla","García",4,3,"Fort Worth"
254,"Isabella","Brown",2,2,"Corpus Christi"
255,"Michael","Lewis",2,4,"San Antonio"
256,"Victoria","Sánchez",0,0,"Houston"
257,"James","Sánchez",2,3,"Arlington"
258,"Sebastian","Phillips",1,0,"San Antonio"
259,"Scarlett","Johnson",0,0,"Austin"
260,"Hazel","Martínez",4,4,"Laredo"
261,"Anthony","Clark",1,2,"Arlington"
262,"Christopher","Lopez",4,1,"Plano"
263,"Ellie","Roberts",2,1,"Fort Worth"
264,"Riley","Harris",2,0,"Dallas"
265,"Aria","Lewis",3,0,"Arlington"
266,"Daniel","García",2,4,"Austin"
267,"Alexander","García",4,3,"Dallas"
268,"Evelyn","Lee",0,0,"Plano"
269,"Olivia","Adams",2,2,"Dallas"
270,"Aria","Scott",0,4,"Houston"
271,"Hazel","Evans",2,2,"Houston"
272,"Liam","Mitchell",3,2,"San Antonio"
273,"Emma","Adams",5,1,"Houston"
274,"James","Mitchell",4,2,"Austin"
275,"David","Davis",0,1,"Laredo"
276,"Samuel","González",4,0,"Laredo"
277,"Joshua","Taylor",3,1,"Laredo"
278,"Scarlett","Martin",4,1,"Fort Worth"
279,"Emma","King",1,2,"Fort Worth"
280,"Joseph","Mitchell",1,0,"Austin"
281,"Zoe","González",1,1,"San Antonio"
282,"Elijah","Carter",0,1,"Plano"
283,"Harper","Smith",4,2,"San Antonio"
284,"Sophia","Scott",3,2,"El Paso"
285,"Noah","Mitchell",4,1,"El Paso"
286,"Harper","White",1,1,"Dallas"
287,"Emma","Martínez",3,4,"El Paso"
288,"Sophia","Smith",5,0,"Dallas"
289,"Noah","Wilson",1,2,"Arlington"
290,"Ellie","Evans",5,3,"El Paso"
291,"Henry","Turner",3,1,"Houston"
292,"Ava","Ramírez",5,1,"Laredo"
293,"Emma","Hernández",1,2,"Dallas"
294,"Christopher","Harris",3,3,"Fort Worth"
295,"Zoe","Mitchell",1,0,"Plano"
296,"Isaac","Martin",1,0,"Houston"
297,"Luna","Miller",3,2,"Houston"
298,"Ava","Wilson",3,4,"Plano"
299,"Oliver","Moore",3,2,"Arlington"
300,"Victoria","González",4,0,"Plano"
301,"Victoria","Harris",2,1,"Fort Worth"
302,"Liam","Moore",5,3,"Plano"
303,"David","Miller",5,1,"Dallas"
304,"Samuel","Williams",3,2,"Arlington"
305,"Grace","González",3,2,"Corpus Christi"
306,"Aiden","Parker",4,1,"Dallas"
307,"Charlotte","Harris",2,4,"El Paso"
308,"Liam","Harris",2,2,"Arlington"
309,"Jack","Hill",4,3,"Laredo"
310,"Aiden","Scott",2,0,"San Antonio"
311,"Harper","Williams",1,1,"El Paso"
312,"Scarlett","Baker",1,2,"Austin"
313,"Lily","Moore",3,3,"San Antonio"
314,"Noah","Phillips",1,2,"Arlington"
315,"Evelyn","Rivera",3,0,"Arlington"
316,"Isaac","Davis",2,0,"Plano"
317,"Madison","Anderson",3,2,"Dallas"
318,"Sophia","Davis",1,0,"Arlington"
319,"Evelyn","Roberts",5,2,"Houston"
320,"Gabriel","Lewis",2,1,"El Paso"
321,"Gabriel","Adams",3,4,"Arlington"
322,"Henry","Thomas",1,0,"El Paso"
323,"Charlotte","Walker",0,1,"San Antonio"
324,"Lily","Collins",1,3,"Arlington"
325,"Ava","Hill",0,0,"Fort Worth"
326,"Olivia","Brown",1,3,"Houston"
